id,Age,Annual_Income_USD,Daily_Commute_km,Number_of_Cars_Owned,Charging_Stations_Near_Home,Charging_Stations_Near_Work,Environmental_Concern_Level,Gender,City_Type,Current_Car_Type,Home_Charging_Possible,Subsidy_Available,Range_Anxiety_Level,Will_Buy_EV
72,44,65926,44.53,1,2,8,6,Male,Suburban,Truck,Yes,No,High,0
73,47,55571,16.15,0,3,5,10,Male,Suburban,SUV,No,No,High,1
74,58,138916,6.33,1,6,3,9,Male,Urban,Truck,No,No,Low,1
75,65,150261,62.09,2,6,2,1,Male,Urban,Hatchback,No,No,Medium,1
76,28,172932,65.88,0,5,3,9,Male,Rural,Sedan,No,Yes,Low,1
77,67,100771,32.47,0,9,3,8,Male,Suburban,SUV,Yes,Yes,High,1
78,49,106003,24.23,3,1,8,3,Male,Urban,Sedan,No,No,Medium,0
79,41,178247,22.89,3,5,0,3,Male,Urban,SUV,Yes,Yes,High,0
80,55,103076,29.52,2,8,11,9,Male,Rural,Hatchback,Yes,Yes,Low,1
81,51,53356,46.58,1,0,6,9,Female,Rural,Sedan,Yes,Yes,High,1
82,36,64644,42.7,0,2,4,1,Female,Rural,SUV,No,Yes,Medium,0
83,39,174267,29.07,2,2,5,1,Male,Rural,SUV,No,Yes,Low,0
84,58,31697,51.36,3,10,7,1,Male,Suburban,Truck,No,Yes,High,0
85,52,149142,54.39,1,1,7,2,Male,Urban,Sedan,No,No,High,0
86,48,125362,45.1,1,7,9,10,Female,Urban,Sedan,Yes,No,High,0
87,40,99595,31.6,1,4,6,10,Female,Rural,Hatchback,No,No,Medium,1
88,59,154192,50.29,2,6,0,9,Male,Rural,Sedan,Yes,Yes,High,0
89,43,151097,47.76,0,8,5,6,Male,Suburban,SUV,Yes,No,Low,1
90,40,93199,27.89,2,9,9,5,Male,Rural,Sedan,No,Yes,Low,1
91,65,118441,24.95,3,7,4,2,Male,Rural,Sedan,No,No,Low,0
92,37,143373,44.11,0,7,3,7,Female,Rural,Hatchback,No,Yes,Low,1
93,35,126543,49.37,3,7,0,1,Female,Urban,Sedan,Yes,Yes,Low,0
94,57,100257,49.25,2,2,2,10,Male,Urban,Sedan,Yes,No,High,0
95,53,166622,31.24,3,5,11,5,Female,Urban,SUV,Yes,No,High,0
96,27,161833,45.7,1,11,9,6,Female,Suburban,SUV,No,Yes,High,0
97,28,35116,78.88,1,1,0,5,Male,Rural,SUV,Yes,No,Medium,1
98,42,109801,34.81,2,1,11,10,Male,Rural,SUV,Yes,Yes,Medium,0
99,63,154423,67.6,3,3,0,6,Female,Urban,Truck,No,No,Low,0
100,43,38086,7.42,2,6,6,9,Male,Rural,Truck,No,Yes,Medium,1
101,61,84181,70.14,0,6,2,7,Male,Suburban,Sedan,Yes,No,Medium,0
102,39,103848,75.39,2,8,7,9,Male,Rural,Sedan,No,Yes,High,0
103,36,75459,21.69,2,5,1,2,Female,Urban,Hatchback,Yes,No,Low,0
104,61,132780,1.96,1,3,3,4,Male,Rural,Truck,Yes,No,Low,0
105,65,179074,39.16,3,2,9,4,Male,Urban,Truck,No,Yes,Medium,0
106,28,81399,15.43,3,7,11,1,Female,Suburban,Truck,Yes,Yes,Low,0
107,27,146084,77.76,1,9,1,1,Male,Urban,Truck,Yes,Yes,Medium,0
108,55,43158,71.92,1,11,10,4,Male,Rural,Hatchback,Yes,No,Low,0
109,40,100257,76.89,3,5,4,10,Male,Suburban,SUV,Yes,Yes,High,0
110,51,25830,48.71,2,9,0,8,Female,Suburban,Sedan,No,Yes,Medium,1
111,31,90507,41.7,0,10,0,5,Female,Suburban,SUV,No,No,Medium,0
112,64,27174,66.78,1,7,7,9,Female,Urban,SUV,Yes,Yes,Low,0
113,45,161016,52.54,2,3,11,7,Male,Rural,Sedan,Yes,No,High,0
114,66,175255,20.64,2,1,4,1,Male,Rural,SUV,No,Yes,High,0
115,61,38456,74.81,1,11,3,3,Female,Rural,SUV,No,Yes,Medium,1
116,57,151794,35.74,3,7,0,6,Female,Suburban,SUV,No,Yes,Medium,1
117,35,134804,62.11,2,1,10,2,Female,Rural,Hatchback,Yes,No,Medium,0
118,60,71622,40.57,1,5,5,4,Male,Urban,SUV,No,Yes,Low,1
119,27,147318,15.49,1,9,11,2,Female,Urban,SUV,Yes,No,Low,0
120,51,174158,24.38,1,5,9,2,Male,Urban,Truck,No,Yes,High,0
121,43,148875,46.38,0,0,8,1,Female,Urban,Sedan,No,No,High,0
122,70,132342,12.3,1,3,8,4,Female,Suburban,SUV,Yes,No,High,0
123,34,74954,2.09,2,2,3,7,Male,Suburban,SUV,No,Yes,High,0
124,68,119003,35.28,3,5,10,7,Male,Urban,Truck,No,No,Low,0
125,29,148479,61.21,1,10,5,10,Male,Urban,Sedan,Yes,No,Low,1
126,53,135765,49.52,1,4,2,2,Female,Suburban,SUV,No,Yes,Medium,0
127,51,59925,26.61,0,4,9,1,Female,Urban,Hatchback,No,No,Medium,1
128,66,88861,57.66,2,10,0,1,Male,Rural,Sedan,No,No,Medium,0
129,38,81157,39.28,3,11,8,2,Female,Urban,SUV,Yes,No,Medium,1
130,66,132686,79.96,2,0,11,5,Female,Rural,SUV,Yes,Yes,Low,0
131,55,89704,62.31,3,11,9,9,Male,Suburban,Truck,No,Yes,High,0
132,65,90015,66.62,2,3,8,7,Male,Suburban,Hatchback,Yes,Yes,High,1
133,34,108918,21.5,2,9,6,7,Female,Suburban,Sedan,Yes,No,Medium,0
134,59,114803,13.03,0,2,1,3,Female,Rural,Hatchback,No,Yes,Medium,1
135,68,42455,16.75,2,4,7,10,Male,Rural,Hatchback,Yes,Yes,Medium,1
136,27,168366,35.15,3,5,4,10,Female,Suburban,Truck,Yes,No,Medium,1
137,41,88076,41.46,1,10,4,4,Female,Suburban,Sedan,No,Yes,Low,0
138,54,52197,16.37,2,11,11,6,Female,Urban,Sedan,No,No,Medium,1
139,29,25046,62.62,3,5,2,5,Female,Rural,SUV,No,Yes,Medium,0
140,48,92394,69.61,1,6,11,4,Male,Urban,Sedan,No,No,High,1
141,53,140379,25.96,3,1,8,3,Female,Urban,Hatchback,Yes,No,High,0
142,60,70926,41.14,1,0,6,10,Female,Urban,Truck,No,No,Low,1
143,67,157040,47.96,3,10,0,9,Female,Urban,SUV,No,Yes,Low,0
144,43,55940,58.07,3,11,10,9,Female,Urban,Hatchback,Yes,No,High,0
145,45,46534,12.65,0,9,9,2,Male,Rural,SUV,Yes,No,High,0
146,46,85620,23.19,2,2,0,5,Male,Suburban,Truck,Yes,No,Medium,1
147,68,134086,58.73,0,1,0,4,Male,Suburban,Truck,No,Yes,Low,1
148,34,71433,45.89,3,6,3,10,Female,Suburban,Hatchback,Yes,Yes,Medium,1
149,47,152270,72.1,2,10,7,7,Female,Suburban,Truck,Yes,No,High,1
150,27,28236,36.38,0,10,4,8,Male,Suburban,Sedan,Yes,Yes,Medium,1
151,44,177183,33.12,1,6,7,10,Female,Urban,SUV,Yes,Yes,Medium,1
152,68,32305,25.21,3,5,7,1,Female,Urban,SUV,No,No,High,1
153,53,155787,19.28,3,8,1,9,Male,Suburban,Sedan,No,No,Medium,1
154,41,25548,52.41,1,10,10,6,Male,Urban,Truck,No,No,Low,0
155,70,90736,21.91,3,3,7,1,Male,Urban,SUV,Yes,Yes,Medium,0
156,52,72965,69.12,3,6,1,10,Female,Urban,Sedan,No,No,High,1
157,68,176851,22.38,2,2,9,9,Male,Rural,Sedan,No,Yes,Medium,0
158,25,126507,54.2,0,9,5,7,Male,Suburban,Truck,Yes,No,High,1
159,46,175967,45.89,1,10,6,8,Male,Suburban,Hatchback,Yes,No,Low,1
160,63,89256,50.65,2,3,11,4,Female,Urban,SUV,No,Yes,Low,0
161,59,103069,71.74,2,7,8,5,Male,Urban,Hatchback,No,No,High,0
162,43,102852,14.43,3,2,8,9,Male,Urban,Hatchback,Yes,No,Low,1
163,47,141784,12.84,2,1,8,6,Male,Rural,Hatchback,No,Yes,Low,1
164,44,103918,10.63,2,0,9,10,Female,Rural,Truck,Yes,No,Low,1
165,49,166644,7.04,2,4,2,5,Female,Suburban,Sedan,No,Yes,Medium,0
166,35,54752,43.2,3,4,11,3,Male,Rural,Truck,Yes,No,High,1
167,61,98802,14.09,3,10,11,1,Male,Suburban,Truck,No,Yes,High,0
168,28,63246,64.77,3,8,8,10,Female,Suburban,Hatchback,Yes,No,Medium,1
169,44,158886,2.79,2,5,3,4,Female,Urban,Sedan,No,Yes,Low,0
170,37,46290,30.59,0,2,0,2,Female,Urban,Truck,Yes,Yes,Low,0
171,58,133743,38.38,2,4,7,10,Male,Suburban,Hatchback,Yes,Yes,Low,1
172,59,166337,18.11,3,1,9,4,Male,Urban,Sedan,No,Yes,High,0
173,57,70558,29.12,2,4,1,6,Male,Suburban,SUV,Yes,No,Low,0
174,67,68273,18.6,3,5,9,10,Female,Urban,Sedan,No,No,Medium,1
175,67,143986,23.26,3,9,11,1,Female,Suburban,SUV,No,No,Low,0
176,33,116653,74.22,3,10,1,10,Female,Suburban,Hatchback,No,Yes,High,0
177,30,113456,33.96,1,5,7,6,Female,Rural,Truck,No,No,Medium,1
178,31,162043,31.48,3,3,6,6,Female,Rural,Truck,No,No,High,1
179,58,39545,49.28,3,11,5,7,Male,Suburban,SUV,Yes,No,Medium,1
180,69,67326,53.47,1,11,11,6,Male,Urban,SUV,Yes,Yes,Low,1
181,67,85663,53.16,2,3,6,9,Female,Urban,Hatchback,No,Yes,Low,1
182,55,167208,7.7,2,10,0,10,Female,Urban,Hatchback,No,No,High,1
183,69,36429,46.97,0,9,0,6,Male,Urban,Sedan,No,Yes,High,1
184,65,95157,59.14,0,4,3,1,Female,Rural,SUV,Yes,Yes,Low,1
185,25,98805,63.85,1,3,2,3,Male,Urban,Sedan,No,Yes,Low,0
186,30,27249,47.49,2,1,9,7,Female,Suburban,Hatchback,Yes,No,Medium,1
187,64,91423,11.32,1,9,11,10,Female,Suburban,Truck,Yes,No,Low,1
188,28,125554,7.62,3,5,5,2,Male,Rural,Hatchback,No,Yes,Medium,0
189,70,90679,26.52,2,0,0,3,Male,Urban,Sedan,No,Yes,Low,0
190,63,72376,74.28,0,1,8,2,Male,Suburban,SUV,Yes,Yes,Medium,0
191,69,115876,38.34,3,1,1,8,Female,Urban,Sedan,Yes,No,Low,1
192,41,177037,71.74,1,9,9,9,Female,Urban,Hatchback,Yes,No,Low,1
193,31,44017,37.31,0,3,6,7,Female,Urban,Hatchback,Yes,Yes,Medium,1
194,48,69362,60.65,2,7,4,9,Male,Urban,SUV,No,No,Low,0
195,69,169734,39.33,1,10,9,10,Male,Suburban,Sedan,Yes,No,Low,1
196,41,70944,56.99,0,5,0,6,Female,Rural,Sedan,Yes,No,Medium,0
197,65,131027,26.06,2,3,10,8,Female,Urban,Truck,Yes,No,Medium,1
198,42,79468,71.3,2,2,2,2,Male,Urban,Sedan,No,Yes,Low,1
199,62,152686,21.99,3,5,10,4,Male,Urban,Sedan,Yes,Yes,Medium,1
200,35,115729,1.49,0,9,5,3,Male,Suburban,Truck,No,No,Low,1
201,47,164004,57.97,3,1,9,1,Male,Urban,Sedan,No,No,Low,0
202,40,123814,54.45,3,9,2,5,Male,Rural,Hatchback,Yes,No,Medium,1
203,35,115414,52.9,2,6,4,7,Male,Urban,SUV,No,Yes,Low,1
204,66,100727,55.31,1,10,11,8,Male,Urban,SUV,No,Yes,High,1
205,61,31233,47.31,3,1,6,1,Male,Urban,Truck,Yes,No,Low,0
206,31,43704,10.11,1,11,3,3,Male,Rural,Truck,No,Yes,Medium,0
207,67,135280,53.87,1,1,9,1,Female,Urban,Sedan,Yes,No,Medium,1
208,69,124135,1.52,1,4,5,4,Female,Suburban,Hatchback,No,Yes,Medium,1
209,37,113199,15.44,3,9,1,1,Female,Rural,Sedan,Yes,No,Medium,0
210,44,43115,34.25,2,6,11,10,Female,Suburban,Sedan,No,No,High,1
211,49,153023,30.89,3,2,0,6,Male,Urban,SUV,No,Yes,Low,1
212,55,148408,10.4,1,10,7,3,Female,Urban,SUV,Yes,Yes,Medium,0
213,45,107484,34.73,2,0,5,8,Male,Rural,SUV,No,Yes,Low,0
214,31,64418,50.27,1,6,7,6,Female,Suburban,Hatchback,Yes,No,Low,1
215,67,151052,30.82,0,7,3,1,Male,Rural,SUV,No,No,High,0
216,56,105867,56.97,1,11,3,7,Male,Urban,Sedan,Yes,No,Medium,0
217,26,179536,19.24,1,1,0,4,Male,Rural,Sedan,Yes,Yes,Low,0
218,62,68481,12.36,3,1,11,2,Male,Urban,Sedan,No,No,High,1
219,58,79335,60.16,1,0,6,4,Female,Rural,Hatchback,No,Yes,Medium,0
220,33,149561,53.83,3,1,10,1,Female,Suburban,Truck,Yes,No,Medium,0
221,53,51508,34.92,3,9,4,9,Female,Urban,Truck,Yes,Yes,Low,0
222,48,74890,11.8,0,6,11,1,Male,Suburban,Hatchback,No,No,High,0
223,26,85709,53.43,2,4,10,7,Female,Rural,SUV,No,Yes,Low,1
224,67,137562,60.25,2,2,5,7,Male,Suburban,SUV,No,Yes,Low,1
225,58,141722,13.95,3,10,4,5,Female,Rural,Truck,No,No,High,0
226,39,147208,55.45,3,5,1,5,Female,Rural,SUV,No,Yes,High,1
227,25,93080,29.1,1,8,7,10,Male,Suburban,Hatchback,Yes,No,Low,1
228,29,120383,73.29,2,5,6,8,Male,Urban,SUV,No,No,High,1
229,59,116198,60.37,1,2,6,7,Male,Suburban,Sedan,Yes,No,Medium,0
230,31,144677,22.62,2,1,2,7,Female,Urban,Sedan,No,Yes,Low,0
231,48,44740,75.1,2,1,3,7,Female,Urban,Truck,Yes,No,Medium,1
232,66,74312,2.99,2,0,6,3,Female,Rural,Truck,Yes,No,Medium,0
233,67,137549,15.6,1,2,5,8,Female,Urban,SUV,Yes,Yes,Medium,1
234,37,56270,20.11,1,7,7,2,Male,Rural,Truck,No,Yes,Medium,1
235,28,68412,58.83,1,5,4,6,Male,Rural,Hatchback,No,Yes,High,0
236,47,176677,42.57,3,8,7,5,Female,Rural,SUV,Yes,No,High,0
237,63,54545,37.69,2,4,2,5,Female,Urban,Sedan,Yes,No,Medium,0
238,53,179700,18.58,3,3,4,6,Female,Urban,Truck,No,Yes,Medium,1
239,28,158757,60.76,0,9,1,10,Female,Rural,Hatchback,Yes,No,High,1
240,54,49187,10.25,0,10,9,8,Female,Suburban,SUV,Yes,Yes,Low,1
241,40,112483,20.54,1,5,0,6,Female,Urban,Sedan,No,No,Medium,1
242,35,75178,64.7,0,10,0,4,Female,Urban,Truck,No,No,Low,1
243,44,100097,36.63,0,6,2,5,Female,Rural,Hatchback,Yes,No,High,0
244,65,119522,70.27,2,8,8,9,Female,Urban,SUV,Yes,No,Low,1
245,69,164317,48.53,1,4,0,1,Female,Urban,SUV,Yes,No,Medium,0
246,31,169351,63.37,1,0,11,9,Female,Urban,SUV,No,Yes,Low,1
247,50,38331,15.8,2,9,1,2,Male,Suburban,Truck,Yes,No,Medium,0
248,60,52743,25.98,3,5,9,5,Female,Suburban,Sedan,Yes,Yes,High,0
249,36,132903,30.76,0,8,1,10,Male,Suburban,Sedan,No,Yes,High,0
250,37,56955,40.04,3,4,2,10,Male,Rural,Sedan,Yes,No,Low,0
251,36,75837,38.32,0,8,4,10,Female,Urban,Hatchback,No,No,Medium,1
252,34,115746,65.97,2,11,10,7,Female,Urban,Hatchback,No,Yes,High,0
253,65,52188,14.68,3,9,2,1,Male,Urban,Sedan,Yes,Yes,High,0
254,35,179134,68.27,3,9,8,5,Male,Rural,Hatchback,Yes,Yes,Low,1
255,35,129593,71.23,3,4,0,1,Female,Urban,SUV,No,Yes,Low,0
256,30,60220,6.97,2,6,2,2,Female,Suburban,Truck,Yes,Yes,Medium,0
257,30,81237,1.74,1,1,0,7,Male,Rural,Truck,No,No,Low,0
258,60,125463,24.13,1,11,2,10,Male,Urban,Hatchback,No,Yes,Medium,0
259,38,76133,32.66,3,9,11,3,Male,Rural,Hatchback,No,Yes,High,0
260,61,121367,77.67,0,6,7,8,Female,Rural,Sedan,No,Yes,Medium,0
261,51,171270,6.64,1,4,2,7,Female,Urban,Sedan,Yes,Yes,Low,1
262,64,81646,62.72,1,6,9,7,Male,Suburban,Truck,Yes,No,Medium,1
263,50,55891,38.56,2,8,0,3,Male,Rural,Hatchback,Yes,Yes,Low,0
264,60,69293,11.26,3,11,2,10,Female,Rural,Truck,Yes,No,Low,1
265,62,104386,29.92,2,11,7,4,Male,Rural,SUV,Yes,Yes,Medium,0
266,27,111138,31.09,3,3,8,6,Male,Rural,Hatchback,No,No,Medium,1
267,50,28722,20.24,1,8,6,4,Female,Rural,Sedan,No,No,High,0
268,45,124692,24.25,3,11,0,9,Female,Suburban,Hatchback,No,No,High,1
269,38,50322,34.17,2,10,4,3,Male,Suburban,SUV,Yes,Yes,Low,1
270,45,122631,77.02,3,7,9,3,Female,Suburban,Sedan,No,Yes,Medium,0
271,43,161929,37.25,0,0,8,8,Female,Urban,SUV,No,Yes,Low,1
272,47,54981,76.06,3,0,1,10,Female,Urban,Hatchback,Yes,Yes,High,0
273,62,147333,3.41,0,7,11,4,Male,Rural,Hatchback,No,No,Medium,1
274,62,30273,6.22,1,1,7,4,Female,Suburban,Sedan,No,No,Low,0
275,53,111309,3.2,1,1,4,10,Female,Rural,SUV,Yes,No,High,0
276,57,128389,53.61,3,11,11,1,Male,Suburban,Truck,No,Yes,Medium,0
277,69,59480,18.4,2,10,4,2,Male,Suburban,Hatchback,Yes,Yes,Low,0
278,54,146143,46.54,0,3,4,5,Female,Suburban,Hatchback,Yes,No,High,1
279,41,111450,63.83,2,11,6,9,Male,Urban,Hatchback,No,No,Medium,1
280,28,89786,27.21,1,6,0,1,Female,Rural,Sedan,Yes,Yes,High,0
281,50,26882,20.41,2,0,2,2,Male,Suburban,Truck,Yes,Yes,High,0
282,35,45872,58.31,2,7,5,1,Male,Urban,Truck,Yes,Yes,Low,0
283,52,135514,38.6,3,1,2,3,Female,Urban,Hatchback,Yes,Yes,Medium,0
284,26,88078,12.79,3,4,9,2,Male,Urban,Sedan,Yes,No,High,0
285,64,136096,7.91,0,9,4,10,Male,Rural,SUV,Yes,Yes,High,1
286,68,173961,59.24,2,11,6,5,Female,Suburban,Sedan,Yes,No,High,0
287,31,125136,68.97,0,8,8,1,Male,Rural,Hatchback,Yes,Yes,Medium,0
288,62,139957,71.34,3,3,1,1,Male,Suburban,Truck,Yes,No,Low,1
289,43,119757,41.3,3,11,0,9,Female,Suburban,Truck,Yes,Yes,High,1
290,26,71527,13.12,3,0,8,8,Female,Urban,Truck,Yes,No,Medium,1
291,66,36426,18.83,1,9,1,2,Female,Urban,Sedan,Yes,Yes,Low,1
292,68,120034,36.83,2,8,11,10,Female,Suburban,Truck,No,No,Medium,0
293,26,63192,68.3,2,7,9,6,Female,Urban,Sedan,No,Yes,Low,0
294,52,43744,52.37,0,3,1,9,Female,Suburban,Hatchback,No,Yes,Low,1
295,62,114028,22.66,2,6,3,10,Male,Rural,Truck,No,No,Medium,1
296,61,119568,60.72,2,2,11,5,Female,Rural,Truck,Yes,No,Medium,1
297,44,86098,35.4,2,0,6,2,Male,Rural,Hatchback,No,No,Medium,0
298,64,122594,78.64,1,8,2,10,Female,Urban,Truck,No,No,High,1
299,63,178763,34.87,0,9,0,4,Female,Suburban,Sedan,No,Yes,Medium,0
300,30,142526,67.14,0,2,1,5,Male,Suburban,SUV,Yes,Yes,Low,1
301,25,168180,2.15,3,4,6,6,Male,Urban,Hatchback,Yes,Yes,Medium,1
302,29,35517,57.74,2,11,9,5,Male,Rural,SUV,Yes,Yes,High,0
303,41,48561,32.48,0,1,0,7,Female,Suburban,Sedan,No,Yes,Low,1
304,30,80569,40.42,3,10,4,6,Female,Urban,SUV,No,No,High,1
305,28,116443,16.71,2,6,2,4,Male,Urban,Sedan,Yes,Yes,Medium,0
306,36,132805,74.43,0,6,8,4,Male,Suburban,SUV,No,No,High,0
307,55,132913,16.77,1,4,5,3,Female,Suburban,SUV,No,No,High,0
308,49,165505,45.37,3,6,2,1,Female,Suburban,Hatchback,No,No,High,1
309,37,46164,48.19,1,7,6,10,Female,Suburban,Hatchback,Yes,Yes,Low,1
310,68,51580,68.82,0,0,9,7,Male,Suburban,Hatchback,No,No,High,0
311,57,73452,37.87,2,0,1,1,Male,Suburban,Truck,No,No,Medium,1
312,54,50998,66.56,3,10,1,1,Female,Urban,SUV,No,No,Low,1
313,68,135967,42.39,1,1,5,10,Female,Urban,Truck,No,Yes,High,1
314,61,88859,76.55,3,11,1,10,Female,Urban,Sedan,No,Yes,Medium,0
315,30,164671,57.61,0,6,9,2,Female,Rural,SUV,No,Yes,Low,0
316,26,68976,73.06,0,3,7,10,Female,Suburban,SUV,Yes,Yes,High,0
317,64,77970,75.45,3,7,8,3,Male,Urban,Truck,Yes,Yes,High,0
318,43,71330,64.38,1,4,5,10,Female,Urban,Sedan,Yes,Yes,High,0
319,27,62036,10.67,2,0,4,8,Male,Urban,Sedan,Yes,No,Low,1
320,46,155295,10.83,1,11,2,3,Female,Suburban,Hatchback,No,Yes,Medium,0
321,42,152377,49.68,2,7,5,8,Male,Suburban,Hatchback,No,No,Low,1
322,44,70835,22.43,1,11,7,10,Male,Urban,Sedan,No,No,High,1
323,44,115672,31.43,2,10,9,6,Male,Suburban,Sedan,No,Yes,Low,0
324,39,161173,14.73,3,3,10,7,Female,Urban,Sedan,Yes,No,Low,0
